accelerometer_X,accelerometer_Y,accelerometer_Z,name_id,file_id
-6.0333879999999995,-10.907983,-9.830592,4,8
-2.456451,-15.820885,-2.954445,4,8
-3.380613,-7.608772999999999,-4.405330999999999,4,8
-4.343082,-7.522581,-2.528277,4,8
-1.201889,-3.581726,2.959233,4,8
-4.534618,-8.571242,0.057461,4,8
-7.354987,-12.646173,-1.005565,4,8
-9.605537,-11.865664,-9.581595,4,8
-1.096544,-11.640609,-0.751779,4,8
-1.924938,-7.28795,-3.792415,4,8
-4.869806,-7.704541000000001,-0.665588,4,8
-1.331176,-3.3279400000000003,1.484405,4,8
-5.195418,-8.652645,0.948104,4,8
-5.487509999999999,-10.400413,2.60968,4,8
-5.717354,-7.680599000000001,-5.90889,4,8
0.440533,-12.220005,-4.927267,4,8
-2.576161,-3.217807,1.374272,4,8
-4.501099,-7.987056,-1.584961,4,8
-1.40779,-4.893748,1.206678,4,8
-7.029375999999999,-7.723694999999999,-0.287304,4,8
-6.023811,-10.070012,0.3926489999999999,4,8
-7.570465,-12.009315,-5.84664,4,8
0.656011,-11.736377,-2.542642,4,8
-1.719037,-2.930503,2.389413,4,8
-3.600879,-8.681376,-2.1883,4,8
-2.39899,-3.567361,1.790863,4,8
-6.976703,-7.814674,0.857124,4,8
-5.722142,-13.804967,4.845865,4,8
-6.354211,-12.641385,-7.929596000000001,4,8
1.158794,-13.206416,-0.177171,4,8
-4.505887,-12.856863,5.568912999999999,4,9
-8.858546,-13.220781,-9.064447,4,9
1.728614,-13.359646,0.842759,4,9
-1.537077,-2.327164,1.393425,4,9
-1.307234,-8.303091,-2.63841,4,9
-3.323152,-9.849746,-1.61848,4,9
-2.0494369999999997,-8.082824,-2.6910830000000003,4,9
-1.934515,-11.789049,1.063026,4,9
2.60968,-12.583924,1.953669,4,9
-2.954445,-15.538369,-3.347094,4,9
-3.169923,-8.686164,-6.880935000000001,4,9
2.3558950000000003,-13.431472,0.622492,4,9
-1.599327,-1.537077,2.4660279999999997,4,9
-3.371036,-8.724471000000001,-0.737414,4,9
-7.398083,-13.077129,-1.541866,4,9
-5.39653,-9.093178,-0.033519,4,9
-4.582502,-14.00608,0.866701,4,9
-9.873688,-13.512875,-13.302185,4,9
-3.936067,-12.339716,-1.058237,4,9
-1.733402,-5.492298,-5.228936,4,9
-2.925714,-7.062895,0.110133,4,9
0.220267,-9.337387,3.5194769999999997,4,9
2.48997,-22.471977,-3.806781,4,9
-3.4428620000000003,-12.129025,-1.177947,4,9
-14.973337,-6.234501,-11.702858,4,9
-2.7724849999999996,-13.929465,-0.6464340000000001,4,9
-12.430696,-9.524135,-12.808979,4,9
-4.118027,-8.030152000000001,-0.775721,4,9
-0.363919,-3.083732,1.091756,4,9
-5.080496,-8.508992999999998,0.2489969999999999,4,9
-8.714894000000001,-11.166556,-1.40779,4,10
-3.490746,-13.613431,17.472883,4,10
-0.866701,-16.481684,-2.657564,4,10
-3.615245,-10.050858,-5.875371,4,10
-4.218583,-9.198523,-2.06859,4,10
-1.005565,-3.462016,2.020706,4,10
-3.122039,-8.528147,-1.805228,4,10
-1.206678,-3.174711,2.03986,4,10
-4.122815,-8.911219000000001,-1.517924,4,10
-8.528147,-12.081141,-0.272939,4,10
-6.028599,-1.163582,1.905785,4,10
-2.710236,-14.719551999999998,-2.571372,4,10
-16.462529999999997,-15.404294,-22.965183,4,10
-1.833958,-7.833828,3.394978,4,10
-1.532289,-3.969586,1.580173,4,10
-2.710236,-7.292738000000001,2.169147,4,10
-1.244985,-4.098873,1.221043,4,10
-5.640739,-8.049306,0.885855,4,10
-8.8777,-13.637373,-0.0430959999999999,4,10
-9.404425,-12.540829,-4.7788260000000005,4,10
-5.152322,-11.664551,-0.11971,4,10
-2.753332,-6.291962,-5.746084,4,10
-1.039083,-7.517792999999999,2.427721,4,10
-2.60968,-5.894524,-6.445191,4,10
-2.533065,-7.378928999999999,0.981623,4,10
0.967258,-6.8761470000000005,1.637634,4,10
-2.959233,-8.700529,-2.245761,4,10
-6.584053999999999,-11.971008,-0.8906430000000001,4,10
-2.1883,-9.404425,-7.675811,4,10
3.117251,-11.267113,-1.053449,4,10
-12.976573,-14.283808,6.306328,4,11
-2.777274,-7.029375999999999,0.612916,4,11
-11.300632,-12.646173,-2.164358,4,11
1.594538,-9.289502,19.685127,4,11
-0.742202,-13.953407,-0.8044520000000001,4,11
-17.51598,-14.374787,-16.965311,4,11
-4.386177,-9.212888,-5.157109999999999,4,11
-1.833958,-1.249773,3.399767,4,11
-4.955997,-5.837064,-0.143652,4,11
1.599327,-11.042058,-1.383848,4,11
-2.60968,-18.066647,-7.034164,4,11
1.5466540000000002,-7.249642999999999,1.719037,4,11
-0.981623,-10.711658,2.245761,4,11
-13.953407,-16.64449,4.553772,4,11
-5.137956,3.366248,-1.316811,4,11
-1.781286,-14.72434,-3.921702,4,11
-8.322244,-15.035586,-17.142485,4,11
3.749319999999999,-11.592725,0.134075,4,11
-1.01993,-0.59855,0.924162,4,11
-1.340753,-8.283937,1.173159,4,11
0.339977,-2.916138,3.428497,4,11
-2.863465,-8.676587,0.45011,4,11
-9.212888,-12.258312,-0.756568,4,11
-1.120486,4.151546,-10.984597,4,11
-7.168239999999999,-11.69807,-2.346318,4,11
0.1819589999999999,-0.593762,34.261024,4,11
-2.274491,-13.005303,-3.5625720000000003,4,11
-6.919242999999999,-9.653421,-4.271256,4,11
-0.1005559999999999,-9.682152,-0.881066,4,11
-1.790863,-0.244209,2.533065,4,11
-0.622492,-2.614468,2.762909,4,12
-5.894524,-8.925583999999999,-1.814805,4,12
-11.889606,-15.021221,4.548983,4,12
-19.962854,-27.552473,-9.174581,4,12
-1.436521,-12.785037,0.272939,4,12
-4.055777,-6.995857000000001,-10.673351,4,12
-3.62961,-6.856992999999999,-1.2162540000000002,4,12
-2.2313959999999997,-10.304645,-3.888183,4,12
-4.31914,-9.289502,-1.158794,4,12
-10.036493,-12.291832,4.003105000000001,4,12
-8.068458999999999,-14.762648,-9.653421,4,12
2.116475,-12.50731,-1.513135,4,12
-0.641646,-2.700659,2.020706,4,12
-0.004788,-6.9096660000000005,-0.713472,4,12
-0.148441,-11.238382,-0.052672,4,12
-4.999093,-15.088259,6.363788,4,12
-4.726154,-11.003751,-3.682282,4,12
-2.671929,5.755661,9.552865,4,12
-2.7437549999999997,-11.903971,1.005565,4,12
-2.418144,-3.782838,-0.651223,4,12
